epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,57657.6,0.94136,0.75883,1.36387,0.96458,0.92258,0.95871,0.81541,0.62771,0.78508,1.01397,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,59270.9,0.92774,0.74053,1.35751,0.9667,0.92002,0.96061,0.81842,0.62271,0.67158,1.01117,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,61031.3,0.92462,0.74935,1.34923,0.9676,0.9224,0.96058,0.82397,0.61003,0.78134,1.0019,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,62710.8,0.92377,0.74708,1.34931,0.97572,0.91897,0.96035,0.82338,0.60838,0.79123,1.00097,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,64002.5,0.92198,0.73758,1.34674,0.96611,0.92379,0.96031,0.82574,0.60755,0.72969,1.00009,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,65884.2,0.91543,0.73258,1.33741,0.97356,0.92659,0.96078,0.82331,0.609,0.73032,0.99981,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,67275.9,0.90871,0.73063,1.344,0.97626,0.92218,0.96125,0.82686,0.60769,0.6554,0.99944,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,68504.9,0.90696,0.72654,1.33756,0.97705,0.92236,0.96192,0.82738,0.60347,0.64686,0.99875,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,69753.5,0.90473,0.71703,1.3376,0.98575,0.91598,0.9628,0.82969,0.59699,0.61144,0.99473,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,71073.7,0.89941,0.71425,1.32682,0.98059,0.92178,0.96116,0.83093,0.59614,0.63468,0.99331,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,72420.7,0.89165,0.70588,1.32109,0.97999,0.92312,0.96117,0.83579,0.58967,0.67562,0.98706,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,74079,0.89315,0.70148,1.31448,0.98706,0.91794,0.96153,0.8368,0.58685,0.67403,0.98563,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,75655.9,0.88433,0.69763,1.31186,0.97843,0.9302,0.96266,0.83454,0.5951,0.64688,0.98876,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,77026,0.88134,0.69268,1.30647,0.98421,0.92512,0.9624,0.83642,0.58901,0.59787,0.98339,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,78498.8,0.87661,0.68605,1.3108,0.9852,0.92459,0.96384,0.83695,0.58491,0.59625,0.98163,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,79812.3,0.86886,0.67893,1.29958,0.98585,0.92251,0.96292,0.83448,0.59084,0.67341,0.98494,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,81495.4,0.86863,0.67906,1.30271,0.98056,0.93061,0.9631,0.83506,0.59198,0.63167,0.98573,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,82827.4,0.86612,0.66684,1.2986,0.98134,0.92819,0.96285,0.83617,0.58986,0.64579,0.98372,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,84292,0.85932,0.66794,1.29003,0.98671,0.92339,0.96384,0.83893,0.58293,0.65313,0.9779,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,85756.6,0.86589,0.67107,1.30134,0.98839,0.92379,0.96458,0.84163,0.57899,0.6283,0.97328,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,87177.7,0.85698,0.66478,1.29573,0.98461,0.927,0.96506,0.84177,0.57947,0.64773,0.97225,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,88515.8,0.85099,0.65623,1.28302,0.98534,0.92499,0.96517,0.84285,0.58165,0.64686,0.9725,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,89954.4,0.83986,0.64862,1.27595,0.97932,0.9294,0.9646,0.8419,0.58659,0.6563,0.97567,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,91361.7,0.83984,0.63594,1.27831,0.98688,0.92138,0.96421,0.84158,0.5872,0.63653,0.9755,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,92683.1,0.84525,0.64656,1.28,0.98706,0.92098,0.96429,0.8421,0.58699,0.67275,0.97627,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,93996.9,0.84405,0.64184,1.27971,0.97885,0.92817,0.96405,0.8424,0.58475,0.69184,0.97509,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,95367.7,0.84251,0.63439,1.27548,0.97967,0.929,0.9642,0.8425,0.58294,0.68733,0.97407,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,96747.3,0.82687,0.63069,1.26134,0.97969,0.92898,0.96435,0.84318,0.58121,0.69346,0.97271,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,98153.3,0.82435,0.62625,1.26157,0.9888,0.92081,0.96403,0.84386,0.58111,0.6796,0.9722,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,99906.2,0.82654,0.61526,1.26779,0.98923,0.92073,0.96431,0.84589,0.57993,0.6745,0.97145,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,101237,0.63957,0.34796,1.14958,0.9817,0.92549,0.96409,0.84585,0.57838,0.66607,0.97112,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,102989,0.64009,0.34087,1.14548,0.98544,0.92308,0.96424,0.8466,0.57824,0.65936,0.97102,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,104378,0.63553,0.33909,1.1428,0.98296,0.92379,0.96476,0.84785,0.57461,0.6481,0.96877,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,105708,0.62201,0.33059,1.12667,0.98375,0.92619,0.96481,0.84937,0.57201,0.64495,0.96697,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,107102,0.6088,0.32728,1.12186,0.98422,0.92545,0.96498,0.85072,0.56986,0.64144,0.96581,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,108713,0.61578,0.32784,1.1286,0.98337,0.92511,0.96492,0.85125,0.56881,0.63118,0.96516,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,110049,0.60431,0.31843,1.11398,0.98297,0.92597,0.96508,0.85272,0.56753,0.61988,0.96459,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,111425,0.60382,0.3166,1.11205,0.98296,0.92572,0.96509,0.85357,0.56695,0.60824,0.96405,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,112757,0.6018,0.31558,1.11394,0.984,0.92619,0.96532,0.85421,0.56508,0.59781,0.96268,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,114123,0.5903,0.30737,1.10421,0.98423,0.9264,0.96559,0.85535,0.56445,0.58864,0.96249,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
